ClassID,Paths_from_root,Name,Excluded?,EDAM_synonyms,EDAM_synonyms_exact,EDAM_synonyms_broad,EDAM_synonyms_narrow,EDAM_synonyms_related,curated_synonyms_full,curated_acronyms,curated_synonyms_partial,change_log,,,,,,
http://edamontology.org/operation_Volume_rendering,Operation : Visualisation : Image visualisation,Volume rendering,,,,,,,,,,,,,,,,
http://edamontology.org/operation____Surface_rendering,Operation : Visualisation : Image visualisation,Surface rendering,,,,,,,,,,,,,,,,
http://edamontology.org/operation_Projection,Operation : Visualisation : Image visualisation,Image projection,,"Maximum intensity projection
 Maximum projection
 Mean projection
 Minimum projection","Maximum projection
 Minimum projection",,"Maximum intensity projection
 Mean projection",,"Maximum intensity projection
 Maximum projection
 Mean projection
 Minimum projection",,"Maximum intensity
 intensity projection",add intensity projection,,,,,,
http://edamontology.org/operation____Slice_rendering,Operation : Visualisation : Image visualisation,Slice rendering,,"Cut plane rendering
 Slice viewing","Cut plane rendering
 Slice viewing",,,,"Cut plane rendering
 Slice viewing",,,,,,,,,
http://edamontology.org/operation_Montage,Operation : Visualisation : Image visualisation,Montage,,,,,,,,,,,,,,,,
http://edamontology.org/operation_Anaglyph,Operation : Visualisation : Image visualisation,Anaglyph,,,,,,,,,,,,,,,,
http://edamontology.org/operation_Overlay,Operation : Visualisation : Image visualisation,Overlay,,,,,,,,,,,,,,,,
http://edamontology.org/operation_2423,Operation,Regression,,,,,,,,,,,,,,,,
http://edamontology.org/operation_2928,Operation,Alignment construction,,,,,,,,,,,,,,,,
http://edamontology.org/operation_2409,Operation,Data handling,,,,,,,Data-handling,,,alt spelling,,,,,,
http://edamontology.org/operation_3434,Operation : Data handling,Conversion,,,,,,,,,,,,,,,,
http://edamontology.org/operation_3096,Operation : Data handling,Editing,,,,,,,,,,,,,,,,
http://edamontology.org/operation_0226,Operation,Annotation,,,,,,,,,,,,,,,,
http://edamontology.org/operation_3553,Operation : Annotation,Image annotation,,,,,,,,,,,,,,,,
http://edamontology.org/operation______Sparse_annotation,Operation : Annotation : Image annotation,Sparse image annotation,,,,,,,,,Sparse image,,,,,,,
http://edamontology.org/operation__RDggamr21qZlMqkQmyOdC7l,Operation : Annotation : Image annotation : Sparse image annotation,Landmark assignment,,"Fiducial placement
 Reference point assignment
 Seed point selection",Reference point assignment,,Fiducial placement,,"Fiducial placement
 Reference point assignment
 Seed point selection",,Reference point,remove seed point,,,,,,
http://edamontology.org/operation______Dense_annotation,Operation : Annotation : Image annotation,Dense image annotation,,,,,,,,,Dense image,,,,,,,
http://edamontology.org/topic_High_content_screening,Topic : Imaging,High-content analysis,,"HCA (*)
 HCS (*)
 High-content imaging
 High-content screening","HCA (*)
 High-content imaging",,"HCS (*)
 High-content screening",,"High-content imaging
 High-content screening","HCA
 HCS","High-content
High content",add high content,,,,,,
http://edamontology.org/topic_Microscopy,Topic : Imaging,Microscopy,x,Slide scanner,,,Slide scanner,,,,,add to excluded list,,,,,,
http://edamontology.org/topic_____Force_microscopy,Topic : Imaging : Microscopy,Force microscopy,,,,,,,,,,,,,,,,
http://edamontology.org/topic_____Atomic_force_microscopy,Topic : Imaging : Microscopy : Force microscopy,Atomic force microscopy,,"AFM (*)
 Force spectroscopy
 SFM (*)
 Scanning force microscopy",AFM (*),,"Force spectroscopy
 SFM (*)
 Scanning force microscopy",,"Force spectroscopy
 Scanning force microscopy","AFM
 SFM",Atomic force,,,,,,,
http://edamontology.org/topic_____Photon_force_microscopy,Topic : Imaging : Microscopy : Force microscopy,Photonic force microscopy,,"Force measurement microscopy
 Force sensing optical tweezers
 PFM (*)",PFM (*),,"Force measurement microscopy
 Force sensing optical tweezers",,"Force measurement microscopy
 Force sensing optical tweezers",PFM,"Force measurement
 Photonic force",,,,,,,
http://edamontology.org/topic_____Traction_force_microscopy,Topic : Imaging : Microscopy : Force microscopy,Traction force microscopy,,,,,,,,TFM,Traction force,add TFM,,,,,,
http://edamontology.org/topic_3385,Topic : Imaging : Microscopy,Light microscopy,,"Light microscope
 Optical microscope
 Optical microscopy",Optical microscopy,,,,"Light microscope
 Optical microscope
 Optical microscopy",,,,,,,,,
http://edamontology.org/topic_____Non-linear_microscopy,Topic : Imaging : Microscopy : Light microscopy,Non-linear microscopy,,,,,,,Nonlinear microscopy,,,"remove non-linear

alt spelling",,,,,,
http://edamontology.org/topic__RBKlmE9DGTZwEwxw0juThGg,"Topic : Imaging : Microscopy : Light microscopy : Point-scanning microscopy
 Topic : Imaging : Microscopy : Light microscopy : Non-linear microscopy",Multi-photon microscopy,,"2PEM (*)
 3PEM (*)
 TPEM (*)
 Three-photon excitation microscopy
 Two-photon excitation microscopy",,,"2PEM (*)
 3PEM (*)
 TPEM (*)
 Three-photon excitation microscopy
 Two-photon excitation microscopy",,"Three-photon excitation microscopy
 Two-photon excitation microscopy","2PEM
 3PEM
 TPEM","Multi-photon
 Three-photon excitation
 Two-photon excitation",,,,,,,
http://edamontology.org/topic_____Second-harmonic_imaging_microscopy,Topic : Imaging : Microscopy : Light microscopy : Non-linear microscopy,Second-harmonic imaging microscopy,,"SHG (*)
 SHIM (*)
 Second harmonic generation
 THG (*)
 Third harmonic generation","SHG (*)
 SHIM (*)
 Second harmonic generation",,"THG (*)
 Third harmonic generation",,"Second harmonic generation
 Third harmonic generation","SHG
 SHIM
 THG","Second harmonic generation
 Second-harmonic
 Third harmonic generation",,,,,,,
http://edamontology.org/topic______Stereoscopy,Topic : Imaging : Microscopy : Light microscopy,Stereoscopy,,"Stereo imaging
 Stereoscopics",,,"Stereo imaging
 Stereoscopics",,"Stereo imaging
 Stereoscopics",,,,,,,,,
http://edamontology.org/topic______Photomanipulation,Topic : Imaging : Microscopy : Light microscopy,Photomanipulation,,,,,,,,,,,,,,,,
http://edamontology.org/topic______Photoactivation,Topic : Imaging : Microscopy : Light microscopy : Photomanipulation,Photoactivation,,"Optogenetics
 Photoconversion
 Photoswitch
 photobleaching",,,,"Optogenetics
 Photoconversion
 Photoswitch
 photobleaching","Optogenetics
 Photoconversion
 Photoswitch
 photobleaching",,,,,,,,,
http://edamontology.org/topic___Foerster_resonance_energy_transfer,"Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy
 Topic : Imaging : Microscopy : Light microscopy : Photomanipulation",Förster resonance energy transfer,,"FRET (*)
 Fluorescence resonance energy transfer (*)","FRET (*)
 Fluorescence resonance energy transfer (*)",,,,,FRET,Förster,"remove fluorescence lifetime correlation microscopy, Fluorescence cross-correlation spectroscopy, FCCS, FCS, FLCS
 add FRET",,,,,,
http://edamontology.org/topic______Photoablation,"Topic : Imaging : Live sample imaging
 Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy
 Topic : Imaging : Microscopy : Light microscopy : Photomanipulation",Photoablation,,"Laser ablation
 Laser microsurgery
 Laser nanosurgery",,,"Laser ablation
 Laser microsurgery
 Laser nanosurgery",,"Laser ablation
 Laser microsurgery
 Laser nanosurgery",,"microsurgery
 nanosurgery",,,,,,,
http://edamontology.org/topic______Laser_microdissection,Topic : Imaging : Microscopy : Light microscopy : Photomanipulation,Laser microdissection,,"LCM (*)
 Laser capture microdissection
 Laser capture microscopy
 Laser catapulting
 Laser dissection microscopy",,,"LCM (*)
 Laser capture microdissection
 Laser capture microscopy
 Laser catapulting
 Laser dissection microscopy",,"Laser capture microdissection
 Laser capture microscopy
 Laser catapulting
 Laser dissection microscopy
Laser-capture microdissection
 Laser-capture microscopy
 Laser catapulting
 Laser-dissection microscopy",LCM,"Laser dissection
 microdissection",alt spelling,,,,,,
http://edamontology.org/topic___Fluorescence_recovery_after_photobleaching,"Topic : Imaging : Live sample imaging
 Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy
 Topic : Imaging : Microscopy : Light microscopy : Photomanipulation",Fluorescence recovery after photobleaching,,"FLAP (*)
 FLIP (*)
 FRAP (*)
 Fluorescence localization after photobleaching
 Fluorescence loss in photobleaching
 Inverse fluorescence recovery after photobleaching
 iFRAP (*)",FRAP (*),,,"FLAP (*)
 FLIP (*)
 Fluorescence localization after photobleaching
 Fluorescence loss in photobleaching
 Inverse fluorescence recovery after photobleaching
 iFRAP (*)","Fluorescence localization after photobleaching
 Fluorescence loss in photobleaching
 Inverse fluorescence recovery after photobleaching","FLAP
 FLIP
 FRAP
 iFRAP
 iFRAP","Fluorescence localization after photobleaching
 Fluorescence loss in photobleaching
 Inverse fluorescence recovery after photobleaching",,,,,,,
http://edamontology.org/topic__R9P5gEAm1wic4R2PcZ7ZpPA,"Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy
 Topic : Imaging : Microscopy : Light microscopy",Transmission light microscopy,,Widefield transmission light microscopy,,,Widefield transmission light microscopy,,Widefield transmission light microscopy,,"Transmission light
 Widefield transmission",,,,,,,
http://edamontology.org/topic__RNFOzq5E0ZVBh5Euhn06rn,"Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy : Transmission light microscopy
 Topic : Imaging : Microscopy : Light microscopy : Transmission light microscopy
 Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy",DIC microscopy,,"Differential interference contrast microscopy
 NIC (*)
 Nomarski interferential contrast
 Nomarski microscopy",Differential interference contrast microscopy,,"NIC (*)
 Nomarski interferential contrast
 Nomarski microscopy",,"Differential interference contrast microscopy
 Nomarski interferential contrast
 Nomarski microscopy",NIC,"Differential interference contrast
 Nomarski
 Nomarski interferential contrast",,,,,,,
http://edamontology.org/topic__R8nlu8VCuL5nvBFgOaGNHgT,"Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy : Transmission light microscopy
 Topic : Imaging : Microscopy : Light microscopy : Transmission light microscopy
 Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy",Polarized light microscopy,,,,,,,,,"Polarized light
 polarised light",add polarised light,,,,,,
http://edamontology.org/topic__R89wYXZ2735GXdn4m4GOT9n,"Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy : Transmission light microscopy
 Topic : Imaging : Microscopy : Light microscopy : Transmission light microscopy
 Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy",Dark-field microscopy,,,,,,,,,Dark-field,,,,,,,
http://edamontology.org/topic______Phase_imaging,"Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy : Transmission light microscopy
 Topic : Imaging : Microscopy : Light microscopy : Transmission light microscopy",Phase imaging,,"Digital Holography
 Holographic microscopy
 Holographic tomography
 Label free
 Ptychography",,,"Digital Holography
 Holographic microscopy
 Holographic tomography
 Ptychography",,"Digital Holography
 Holographic microscopy
 Holographic tomography
 Label free
 Ptychography",,,,,,,,,
http://edamontology.org/topic______Quantitative_phase_imaging,"Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy : Transmission light microscopy : Phase imaging
 Topic : Imaging : Microscopy : Light microscopy : Transmission light microscopy : Phase imaging",Quantitative phase imaging,,,,,,,,,Quantitative phase,,,,,,,
http://edamontology.org/topic__RtBCcu7zJiS0phrbR2HzAI,"Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy : Transmission light microscopy
 Topic : Imaging : Microscopy : Light microscopy : Transmission light microscopy
 Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy",Phase-contrast microscopy,,"Phase imaging
 Quantitative phase-contrast imaging",,,Phase imaging,Quantitative phase-contrast imaging,"Phase imaging
 Quantitative phase-contrast imaging
Phase contrast microscopy",,"Phase-contrast
 Quantitative phase-contrast",alt spelling,,,,,,
http://edamontology.org/topic__RDdX0TswBVhmWiS1dI3pghN,"Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy : Transmission light microscopy
 Topic : Imaging : Microscopy : Light microscopy : Transmission light microscopy
 Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy",Bright-field microscopy,,,,,,,Bright field microscopy,,Bright-field,alt spelling,,,,,,
http://edamontology.org/topic__RBsSZve5PnQFO3scMDWo9f0,Topic : Imaging : Microscopy : Light microscopy,Array-based detection microscopy,,"Area-capturing microscopy
 Array based detection
 CLEM (*)
 Camera based microscopy
 Controlled light exposure microscopy",,,"Area-capturing microscopy
 Array based detection","CLEM (*)
 Camera based microscopy
 Controlled light exposure microscopy","Area-capturing microscopy
 Array based detection
 Camera based microscopy
 Controlled light exposure microscopy",CLEM,"Area-capturing
 Array based
 Array-based detection
 Camera based
 Controlled light exposure",remove CLEM,,,,,,
http://edamontology.org/topic_Light-sheet_microscopy,"Topic : Imaging : Microscopy : Light microscopy : Point-scanning microscopy
 Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy
 Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy",Light-sheet microscopy,,"Bessel Beam Lightsheet Microscopy
 COLM (*)
 Clarity Optimized Light-sheet Microscopy
 DSLM (*)
 Digitally scanned Laser Light-sheet Microscopy
 Dual-View inverted SPIM
 LLS (*)
 LLSM (*)
 LSFM (*)
 Lattice Light-sheet Microscopy
 Light-sheet fluorescence microscopy
 MuViSPIM (*)
 Multidirectional SPIM (*)
 Multiview selective plane illumination microscopy
 OCPI (*)
 OPFOS (*)
 OPM (*)
 OPTiSPIM (*)
 Objective-Coupled Planar Illumination Microscopy
 Oblique Plane Microscopy
 Orthogonal-plane fluorescence optical sectioning
 SCAPE (*)
 SPED (*)
 SPIM (*)
 Selective plane illumination microscopy
 Spherical aberrations assisted Extended Depth-of-field Lightsheet Microscopy
 Swept confocally-aligned planar excitation microscopy
 TSLIM (*)
 Thin Sheet Laser Imaging Microscopy
 diSPIM (*)
 eSPIM (*)
 iSPIM (*)
 inverted SPIM
 mSPIM (*)
 mesoSPIM (*)
 single objective Selective Plane Illumination Microscopy
 soSPIM (*)",,,"DSLM (*)
 Digitally scanned Laser Light-sheet Microscopy
 LLS (*)
 LSFM (*)
 Light-sheet fluorescence microscopy
 OCPI (*)
 OPFOS (*)
 OPM (*)
 Objective-Coupled Planar Illumination Microscopy
 Oblique Plane Microscopy
 Orthogonal-plane fluorescence optical sectioning
 SCAPE (*)
 SPIM (*)
 Selective plane illumination microscopy
 Swept confocally-aligned planar excitation microscopy
 TSLIM (*)
 Thin Sheet Laser Imaging Microscopy
 eSPIM (*)
 mesoSPIM (*)","Bessel Beam Lightsheet Microscopy
 COLM (*)
 Clarity Optimized Light-sheet Microscopy
 Dual-View inverted SPIM
 LLSM (*)
 Lattice Light-sheet Microscopy
 MuViSPIM (*)
 Multidirectional SPIM (*)
 Multiview selective plane illumination microscopy
 OPTiSPIM (*)
 SPED (*)
 Spherical aberrations assisted Extended Depth-of-field Lightsheet Microscopy
 diSPIM (*)
 iSPIM (*)
 inverted SPIM
 mSPIM (*)
 single objective Selective Plane Illumination Microscopy
 soSPIM (*)","Bessel Beam Lightsheet Microscopy
 Clarity Optimized Light-sheet Microscopy
 Digitally scanned Laser Light-sheet Microscopy
 Dual-View inverted SPIM
 Lattice Light-sheet Microscopy
 Light-sheet fluorescence microscopy
 Multiview selective plane illumination microscopy
 Objective-Coupled Planar Illumination Microscopy
 Oblique Plane Microscopy
 Orthogonal-plane fluorescence optical sectioning
 Selective plane illumination microscopy
 Spherical aberrations assisted Extended Depth-of-field Lightsheet Microscopy
 Swept confocally-aligned planar excitation microscopy
 Thin Sheet Laser Imaging Microscopy
 inverted SPIM
 single objective Selective Plane Illumination Microscopy","COLM
 DSLM
 LLS
 LLSM
 LSFM
 MuViSPIM
 Multidirectional SPIM
 OCPI
 OPFOS
 OPM
 OPTiSPIM
 SCAPE
 SPED
 SPIM
 TSLIM
 diSPIM
 eSPIM
 iSPIM
 mSPIM
 mesoSPIM
 soSPIM","Bessel Beam Lightsheet
 Clarity Optimized Light-sheet
 Digitally scanned Laser Light-sheet
 Dual-View inverted SPIM
 Lattice Light-sheet
 Light-sheet
 Light-sheet fluorescence
 Multiview selective plane illumination
 Objective-Coupled Planar Illumination
 Oblique Plane
 Orthogonal-plane fluorescence optical sectioning
 Selective plane illumination
 Spherical aberrations assisted Extended Depth-of-field Lightsheet
 Swept confocally-aligned planar excitation
 Thin Sheet Laser Imaging Microscopy
 inverted SPIM
 single objective Selective Plane Illumination",,,,,,,
http://edamontology.org/topic_____Total_internal_reflection_fluorescence_microscopy,"Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy
 Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy",Total internal reflection fluorescence microscopy,,"HiLo (*)
 HiLo microscopy
 TIRF (*)
 TIRFM (*)
 highly inclined and laminated optical sheet","TIRF (*)
 TIRFM (*)",,,"HiLo (*)
 HiLo microscopy
 highly inclined and laminated optical sheet","HiLo microscopy
 highly inclined and laminated optical sheet","HiLo
 TIRF
 TIRFM","Total internal reflection
 highly inclined and laminated optical sheet",,,,,,,
http://edamontology.org/topic_Widefield_microscopy,"Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy
 Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy",Widefield fluorescence microscopy,,"Epi-fluorescence microscopy
 Epifluorescence microscopy",,,"Epi-fluorescence microscopy
 Epifluorescence microscopy",,"Epi-fluorescence microscopy
 Epifluorescence microscopy
Wide-field fluorescence microscopy",,"Epi-fluorescence
 Epifluorescence
 Widefield fluorescence",alt spelling,,,,,,
http://edamontology.org/topic______Deconvolution_widefield_microscopy,"Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy : Widefield fluorescence microscopy
 Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy : Widefield fluorescence microscopy",Deconvolution widefield microscopy,,,,,,,Deconvolution wide-field microscopy ,,Deconvolution widefield,alt spelling,,,,,,
http://edamontology.org/topic______Image_Scanning_Microscopy,"Topic : Imaging : Microscopy : Light microscopy : Point-scanning microscopy
 Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy
 Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy",Image scanning microscopy,,ISM (*),ISM (*),,,,,ISM,Image scanning,,,,,,,
http://edamontology.org/topic______Airyscan,"Topic : Imaging : Microscopy : Light microscopy : Point-scanning microscopy : Image scanning microscopy
 Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy : Image scanning microscopy
 Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy : Image scanning microscopy",Airyscan,,,,,,,,,,,,,,,,
http://edamontology.org/topic______Re-scan_confocal_microscopy,"Topic : Imaging : Microscopy : Light microscopy : Point-scanning microscopy : Image scanning microscopy
 Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy : Image scanning microscopy
 Topic : Imaging : Microscopy : Light microscopy : Array-based detection microscopy : Image scanning microscopy",Re-scan confocal microscopy,,"RCM (*)
 Re-Scan
 Rescan","RCM (*)
 Rescan",,,Re-Scan,"Re-Scan
 Rescan",RCM,Re-scan confocal,,,,,,,
http://edamontology.org/topic__R8Ss4wIFt90wZ1yjFLfXyPM,"Topic : Imaging : Multimodal imaging
 Topic : Imaging : Microscopy : Electron microscopy
 Topic : Imaging : Microscopy : Light microscopy",Correlative light and electron microscopy,,"CLEM (*)
 Correlative light-electron microscopy
 ILEM (*)
 Integrated light and electron microscopy
 Integrated light-electron microscopy","CLEM (*)
 Correlative light-electron microscopy",,"ILEM (*)
 Integrated light and electron microscopy
 Integrated light-electron microscopy",,"Correlative light-electron microscopy
 Integrated light and electron microscopy
 Integrated light-electron microscopy","CLEM
 ILEM","Correlative light-electron
 Integrated light and electron microscopy
 Integrated light-electron",,,,,,,
http://edamontology.org/topic_Fluorescent_microscopy,Topic : Imaging : Microscopy : Light microscopy,Fluorescence microscopy,,,,,,,,,,,,,,,,
http://edamontology.org/topic___Fluorescence_lifetime_imaging,Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy,Fluorescence lifetime imaging microscopy,,FLIM (*),FLIM (*),,,,Fluorescence life-time imaging microscopy        ,FLIM,"Fluorescence lifetime
Fluorescence life-time",alt spelling,,,,,,
http://edamontology.org/topic___Image_correlation_spectroscopy,Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy,Image correlation spectroscopy,,"ICS (*)
 PICS (*)
 Particle Image Correlation Spectroscopy
 RICS (*)
 Raster Image Correlation Spectroscopy",ICS (*),,,"PICS (*)
 Particle Image Correlation Spectroscopy
 RICS (*)
 Raster Image Correlation Spectroscopy","Particle Image Correlation Spectroscopy
 Raster Image Correlation Spectroscopy","ICS
 PICS
 RICS",correlation spectroscopy,,,,,,,
http://edamontology.org/topic___Fluorescence_correlative_spectroscopy,"Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy
 Topic : Imaging : Spectroscopy",Fluorescence correlation spectroscopy,,"FCCS (*)
 FCS (*)
 FLCS (*)
 Fluorescence Lifetime Correlation Microscopy
 Fluorescence cross-correlation spectroscopy",FCS (*),,,"FCCS (*)
 FLCS (*)
 Fluorescence Lifetime Correlation Microscopy
 Fluorescence cross-correlation spectroscopy","Fluorescence Lifetime Correlation Microscopy
 Fluorescence cross-correlation spectroscopy","FCCS
 FCS
 FLCS","Fluorescence Lifetime Correlation
 Fluorescence cross-correlation spectroscopy",,,,,,,
http://edamontology.org/topic___Fluctuation_based_microscopy,Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy,Fluctuation based microscopy,,"Photobleaching microscopy with non-linear processing
 PiMP (*)
 SOFI (*)
 SRRF (*)
 Super resolution optical fluctuation imaging
 Super resolution radial fluctuations",,,"Photobleaching microscopy with non-linear processing
 PiMP (*)
 SOFI (*)
 SRRF (*)
 Super resolution optical fluctuation imaging
 Super resolution radial fluctuations",,"Photobleaching microscopy with non-linear processing
 Super resolution optical fluctuation imaging
 Super resolution radial fluctuations
Fluctuation-based microscopy","PiMP
 SOFI
 SRRF","Fluctuation based
 Super resolution optical fluctuation
 Super resolution radial fluctuations
Fluctuation-based",alt spelling,,,,,,
http://edamontology.org/topic______Ratiometric_imaging,Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy,Ratiometric imaging,,,,,,,,,Ratiometric,,,,,,,
http://edamontology.org/topic_Super-resolution_microscopy,Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy,Super-resolution microscopy,,"High resolution microscopy
 Nanoscopy
 SR microscopy
 SRM (*)","SR microscopy
 SRM (*)",,"High resolution microscopy
 Nanoscopy",,"High resolution microscopy
 Nanoscopy
 SR microscopy
Super resolution microscopy",SRM,"Super-resolution
Super resolution 
","remove High resolution

alt spelling",,,,,,
http://edamontology.org/topic__RC91JqkkQnsmvg8zuG6Td7q,Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy : Super-resolution microscopy,Structured illumination microscopy,,"Instant linear structured Illumination Microscopy
 MSIM (*)
 Multifocal Structured Illumination Microscopy
 SIM (*)
 SSIM (*)
 Saturated structured illumination microscopy
 iSIM (*)",SIM (*),,,"Instant linear structured Illumination Microscopy
 MSIM (*)
 Multifocal Structured Illumination Microscopy
 SSIM (*)
 Saturated structured illumination microscopy
 iSIM (*)","Instant linear structured Illumination Microscopy
 Multifocal Structured Illumination Microscopy
 Saturated structured illumination microscopy","MSIM
 SIM
 SSIM
 iSIM","Multifocal Structured Illumination
 Saturated structured illumination
 Structured illumination",,,,,,,
http://edamontology.org/topic__RMCSMqSNvOTurvW2FV8tjN,Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy : Super-resolution microscopy,Stimulated emission depletion microscopy,,"MinFlux (*)
 RESOLFT (*)
 Reversible saturable optical linear fluorescence transitions microscopy
 STED (*)
 STED-4Pi (*)
 gated-STED",STED (*),STED-4Pi (*),"MinFlux (*)
 RESOLFT (*)
 Reversible saturable optical linear fluorescence transitions microscopy
 gated-STED",,"Reversible saturable optical linear fluorescence transitions microscopy
 gated-STED","MinFlux
 RESOLFT
 STED
 STED-4Pi","Reversible saturable optical linear fluorescence transitions
 Stimulated emission depletion",,,,,,,
http://edamontology.org/topic__R8oQpUEjKZjNQCTB4x3JQuJ,Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy : Super-resolution microscopy,Single molecule localisation microscopy,,"Direct stochastic optical reconstruction microscopy (*)
 Fluorescence photoactivation localisation microscopy (*)
 GSDIM (*)
 Ground state depletion individual molecule return (*)
 PALM (*)
 Photoactivated localisation microscopy (*)
 SMLM (*)
 STORM (*)
 Single molecule localization microscopy (*)
 Stochastic optical reconstruction microscopy (*)
 dSTORM (*)
 fPALM (*)","SMLM (*)
 Single molecule localization microscopy (*)",,"Direct stochastic optical reconstruction microscopy (*)
 Fluorescence photoactivation localisation microscopy (*)
 GSDIM (*)
 Ground state depletion individual molecule return (*)
 PALM (*)
 Photoactivated localisation microscopy (*)
 STORM (*)
 Stochastic optical reconstruction microscopy (*)
 dSTORM (*)
 fPALM (*)",,"Single-molecule localisation microscopy
Single-molecule localization microscopy
Single molecule localization microscopy",SMLM,,"add SMLM

alt spelling",,,,,,
http://edamontology.org/topic__Rn8MnorStmqIkNlAVZWBc0,"Topic : Imaging : Microscopy : Light microscopy : Point-scanning microscopy : Confocal microscopy
 Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy",Confocal fluorescence microscopy,,"LSM (*)
 Laser scanning microscopy
 Nipkow disk microscopy
 SDCM (*)
 Spinning disk confocal microscopy",,,"LSM (*)
 Laser scanning microscopy
 Nipkow disk microscopy
 SDCM (*)
 Spinning disk confocal microscopy",,"Laser scanning microscopy
 Nipkow disk microscopy
 Spinning disk confocal microscopy","LSM
 SDCM","Confocal fluorescence
 Laser scanning
 Nipkow disk
 Spinning disk confocal",,,,,,,
http://edamontology.org/topic______Fluorescence,Topic : Imaging : Microscopy : Light microscopy : Fluorescence microscopy,Fluorescence,,,,,,,,,,,,,,,,
http://edamontology.org/topic__R7Vn7GbwtqVvGWNAMGdcNW1,Topic : Imaging : Microscopy : Light microscopy,Point-scanning microscopy,,"4Pi microscopy
 CLEM (*)
 Controlled light exposure microscopy
 Laser scanning microscopy
 Scanning probe microscopy",,,"Laser scanning microscopy
 Scanning probe microscopy","4Pi microscopy
 CLEM (*)
 Controlled light exposure microscopy","4Pi microscopy
 Controlled light exposure microscopy
 Laser scanning microscopy
 Scanning probe microscopy
Point scanning microscopy
Laser-scanning microscopy
Controled light exposure microscopy",,"4Pi
 Controlled light exposure
 Laser scanning
 Point-scanning","remove CLEM

alt spelling",,,,,,
http://edamontology.org/topic_____Near-field_scanning_optical_microscopy,Topic : Imaging : Microscopy : Light microscopy : Point-scanning microscopy,Near-field scanning optical microscopy,,"NSOM (*)
 SNOM (*)
 Scanning near-field optical microscopy
 Scattering-type scanning near-field optical microscopy","NSOM (*)
 SNOM (*)
 Scanning near-field optical microscopy",,Scattering-type scanning near-field optical microscopy,,"Scanning near-field optical microscopy
 Scattering-type scanning near-field optical microscopy","NSOM
 SNOM","Near-field scanning
 Scanning near-field
 Scattering-type scanning",,,,,,,
http://edamontology.org/topic__R9Cmje2ZUXyDW6aQAvFhwSM,Topic : Imaging : Microscopy : Light microscopy : Point-scanning microscopy,Confocal microscopy,,"CLSM (*)
 Confocal laser scanning microscopy
 LSCM (*)
 Laser scanning confocal microscopy
 Optical sectioning","CLSM (*)
 Confocal laser scanning microscopy
 LSCM (*)
 Laser scanning confocal microscopy",,,,"Confocal laser scanning microscopy
 Laser scanning confocal microscopy
 Optical sectioning
Laser-scanning confocal microscopy","CLSM
 LSCM","Confocal
 Confocal laser scanning",alt spelling,,,,,,
http://edamontology.org/topic_____Interferometric_microscopy,Topic : Imaging : Microscopy : Light microscopy,Interferometric microscopy,,Interference reflection microscopy,,,Interference reflection microscopy,,Interference reflection microscopy,,"Interference reflection
 Interferometric",,,,,,,
http://edamontology.org/topic_____Light_field_microscopy,Topic : Imaging : Microscopy : Light microscopy,Light field microscopy,,,,,,,Light-field microscopy,,"Light field
Light-field",alt spelling,,,,,,
